"treenum"	"date"	"HMS"	"obsnum"	"time"	"photo"	"cond"	"ci"	"trmmol"	"VpdL"	"Area"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"C2Mch"	"H2Mch"
182	6/21/2000 0:00:00	12/30/1899 10:45:26	2.00	677.30	23.30	0.32	223.00	5.92	1.76	1.00	1.00	4.86	21.80	24.43	20.03	358.20	353.20	12.98	14.15	45.97	50.10	500.00	1200.00	2.00	92.77	2.93	0.84
182	6/21/2000 0:00:00	12/30/1899 10:57:40	1.00	46.80	-2.45	0.40	360.00	6.68	1.60	1.00	1.00	4.86	21.86	23.90	20.05	360.00	360.00	13.50	14.81	47.60	52.23	500.00	51.00	1.00	92.77	2.93	0.84
182	6/21/2000 0:00:00	12/30/1899 10:57:40	2.00	55.10	1.31	0.76	348.00	11.90	1.64	1.00	1.00	4.86	21.87	23.84	20.04	362.20	361.10	11.96	14.32	42.18	50.48	499.90	50.00	1.00	92.77	2.93	0.84
183	6/21/2000 0:00:00	12/30/1899 11:05:21	1.00	203.80	-1.91	0.41	361.00	4.70	1.12	1.00	1.00	4.86	21.05	20.48	20.04	360.30	360.40	13.09	14.02	48.53	51.96	499.60	51.00	1.00	92.77	2.93	0.84
183	6/21/2000 0:00:00	12/30/1899 11:05:21	2.00	252.60	-4.25	0.79	361.00	8.82	1.17	1.00	1.00	4.86	20.76	20.35	20.04	358.80	359.00	11.47	13.22	43.30	49.86	499.80	51.00	1.00	92.77	2.93	0.84
184	6/21/2000 0:00:00	12/30/1899 11:12:03	1.00	154.30	1.62	0.95	352.00	10.20	1.16	1.00	1.00	4.86	20.55	19.72	20.02	363.40	362.30	10.34	12.35	39.51	47.20	500.40	50.00	1.00	92.78	2.93	0.84
184	6/21/2000 0:00:00	12/30/1899 11:12:03	2.00	172.30	-2.87	0.93	363.00	10.00	1.17	1.00	1.00	4.86	20.52	19.68	20.02	364.60	364.50	10.23	12.22	39.19	46.79	500.20	50.00	1.00	92.78	2.93	0.84
185	6/21/2000 0:00:00	12/30/1899 11:22:05	1.00	24.10	-6.68	0.29	388.00	3.88	1.29	1.00	1.00	4.86	21.24	21.12	20.03	357.00	358.10	12.47	13.24	45.69	48.50	500.10	51.00	1.00	92.77	2.93	0.84
185	6/21/2000 0:00:00	12/30/1899 11:22:05	2.00	31.60	-1.38	0.50	353.00	6.41	1.27	1.00	1.00	4.86	20.87	21.18	20.06	356.70	356.50	12.28	13.54	46.02	50.75	499.70	51.00	1.00	92.77	2.93	0.84
185	6/21/2000 0:00:00	12/30/1899 11:22:05	3.00	53.30	12.20	0.67	317.00	8.25	1.26	1.00	1.00	4.86	20.86	21.20	20.04	359.30	356.30	12.03	13.66	45.14	51.23	500.20	51.00	3.00	92.78	2.93	0.84
228	6/28/2000 0:00:00	12/30/1899 9:35:20	1.00	188.70	8.13	-0.23	402.00	-2.19	0.82	1.00	1.00	4.86	16.39	17.28	14.93	355.40	354.00	12.70	12.27	63.73	61.57	500.10	49.00	4.00	93.82	1.35	0.10
228	6/28/2000 0:00:00	12/30/1899 9:35:20	2.00	196.90	3.77	-0.19	379.00	-1.88	0.85	1.00	1.00	4.86	16.32	17.19	14.95	355.50	354.80	12.29	11.92	61.94	60.07	500.50	49.00	2.00	93.83	1.35	0.10
229	6/28/2000 0:00:00	12/30/1899 9:24:34	1.00	30.00	3.02	0.26	331.00	2.78	1.03	1.00	1.00	4.86	16.65	18.52	14.96	357.60	356.80	11.25	11.80	55.55	58.26	499.60	0.00	1.00	93.83	1.35	0.10
229	6/28/2000 0:00:00	12/30/1899 9:24:34	2.00	75.00	6.05	-0.76	362.00	-8.81	0.89	1.00	1.00	4.86	16.65	18.33	14.94	357.30	356.70	14.69	12.95	72.53	63.93	499.60	0.00	2.00	93.84	1.35	0.10
230	6/28/2000 0:00:00	12/30/1899 9:41:52	1.00	67.40	4.67	-0.56	357.00	-4.99	0.72	1.00	1.00	4.86	16.39	17.26	14.93	350.50	349.90	14.34	13.35	71.94	67.00	500.20	49.00	2.00	93.82	1.35	0.10
230	6/28/2000 0:00:00	12/30/1899 9:41:52	2.00	89.90	-9.16	-0.55	322.00	-4.60	0.68	1.00	1.00	4.86	16.38	17.24	14.94	347.30	349.50	14.70	13.79	73.80	69.25	500.50	50.00	1.00	93.83	1.35	0.10
231	6/28/2000 0:00:00	12/30/1899 9:03:07	1.00	98.20	11.50	-0.42	384.00	-5.27	1.04	1.00	1.00	4.86	16.70	18.41	14.97	353.10	351.20	12.62	11.58	62.09	56.97	499.60	51.00	0.00	93.84	1.35	0.10
231	6/28/2000 0:00:00	12/30/1899 9:03:07	2.00	120.00	21.00	-0.33	438.00	-3.73	0.96	1.00	1.00	4.86	16.69	18.28	14.95	353.10	349.20	12.86	12.13	63.34	59.71	499.60	51.00	0.00	93.84	1.35	0.10
232	6/28/2000 0:00:00	12/30/1899 9:07:37	1.00	17.70	13.10	0.09	129.00	1.01	0.99	1.00	1.00	4.86	16.47	17.92	14.97	356.90	354.20	11.16	11.36	55.72	56.72	499.50	50.00	0.00	93.85	1.35	0.10
232	6/28/2000 0:00:00	12/30/1899 9:07:37	2.00	28.20	7.44	4.67e-03	-2180.00	0.05	0.99	1.00	1.00	4.86	16.47	17.92	14.96	355.40	353.90	11.30	11.31	56.41	56.46	499.50	50.00	0.00	93.84	1.35	0.10
233	6/28/2000 0:00:00	12/30/1899 9:19:12	1.00	82.50	2.80	0.05	262.00	0.54	0.96	1.00	1.00	4.86	16.68	18.54	14.97	353.50	352.90	12.42	12.53	61.17	61.70	499.50	49.00	1.00	93.84	1.35	0.10
233	6/28/2000 0:00:00	12/30/1899 9:19:12	2.00	116.20	23.30	-0.27	475.00	-2.63	0.83	1.00	1.00	4.86	16.64	18.48	14.96	355.90	351.50	14.33	13.81	70.77	68.21	499.80	50.00	3.00	93.83	1.35	0.10
204	6/22/2000 0:00:00	12/30/1899 8:51:29	1.00	97.50	1.95	0.02	238.00	0.39	1.34	6.00	1.00	2.84	19.37	20.03	18.08	362.60	360.10	10.41	10.88	42.97	44.91	500.40	51.00	0.00	93.13	-0.09	0.78
204	6/22/2000 0:00:00	12/30/1899 8:51:29	2.00	113.30	0.36	0.04	343.00	0.68	1.32	6.00	1.00	2.84	19.35	19.97	18.07	363.80	363.00	10.20	11.02	42.17	45.52	500.50	51.00	0.00	93.13	-0.09	0.78
205	6/22/2000 0:00:00	12/30/1899 8:55:23	1.00	190.50	0.96	0.06	331.00	0.88	1.23	6.00	1.00	2.84	18.95	18.81	18.08	362.90	361.30	9.10	10.15	38.57	43.03	500.20	51.00	1.00	93.13	-0.09	0.78
205	6/22/2000 0:00:00	12/30/1899 8:55:23	2.00	206.30	0.92	0.04	320.00	0.59	1.20	6.00	1.00	2.84	18.94	18.74	18.07	361.90	360.50	9.66	10.36	40.99	43.96	500.10	51.00	0.00	93.13	-0.09	0.78
206	6/22/2000 0:00:00	12/30/1899 9:07:59	1.00	105.30	-0.49	0.03	374.00	0.48	1.23	6.00	1.00	2.84	19.18	19.57	18.08	359.10	359.40	10.70	11.28	44.71	47.11	500.60	49.00	1.00	93.13	-0.09	0.78
206	6/22/2000 0:00:00	12/30/1899 9:07:59	2.00	118.80	0.96	0.07	332.00	1.01	1.22	6.00	1.00	2.84	19.17	19.57	18.09	361.60	360.00	10.20	11.40	42.65	47.67	500.50	49.00	0.00	93.13	-0.09	0.78
207	6/22/2000 0:00:00	12/30/1899 9:14:17	1.00	252.30	-0.53	0.44	357.00	5.59	1.26	1.00	1.00	4.86	18.96	18.93	18.10	363.00	362.70	8.94	10.05	37.88	42.56	499.90	0.00	0.00	93.14	-0.09	0.78
207	6/22/2000 0:00:00	12/30/1899 9:14:17	2.00	266.50	-3.32	0.45	368.00	5.75	1.28	1.00	1.00	4.86	18.97	18.89	18.09	363.20	363.40	8.65	9.79	36.63	41.45	499.80	0.00	0.00	93.13	-0.09	0.78
207	6/22/2000 0:00:00	12/30/1899 9:14:17	3.00	286.80	0.76	0.45	352.00	5.67	1.26	1.00	1.00	4.86	18.96	18.90	18.09	363.20	362.70	8.85	9.98	37.50	42.26	500.10	0.00	0.00	93.13	-0.09	0.78
207	6/22/2000 0:00:00	12/30/1899 9:14:17	4.00	292.70	-1.95	0.44	363.00	5.71	1.28	1.00	1.00	4.86	18.95	18.89	18.08	363.40	363.40	8.69	9.82	36.84	41.63	499.90	0.00	0.00	93.13	-0.09	0.78
208	6/22/2000 0:00:00	12/30/1899 9:25:39	1.00	9.00	-0.47	0.34	356.00	4.82	1.37	1.00	1.00	4.86	19.46	19.67	18.07	362.30	362.00	9.07	10.02	37.23	41.15	500.00	50.00	2.00	93.14	-0.09	0.78
208	6/22/2000 0:00:00	12/30/1899 9:25:39	2.00	30.70	1.99	0.31	343.00	4.43	1.36	1.00	1.00	4.86	19.10	19.63	18.08	362.20	361.50	9.16	10.04	38.46	42.14	499.90	51.00	2.00	93.14	-0.09	0.78
208	6/22/2000 0:00:00	12/30/1899 9:25:39	3.00	53.20	-2.65	0.26	370.00	3.71	1.38	1.00	1.00	4.86	19.10	19.57	18.08	361.70	361.90	9.01	9.75	37.85	40.93	500.00	50.00	2.00	93.14	-0.09	0.78
209	6/22/2000 0:00:00	12/30/1899 9:28:24	1.00	195.00	0.72	0.40	351.00	5.54	1.35	1.00	1.00	4.86	19.28	19.80	18.07	362.50	362.00	9.25	10.35	38.42	42.97	500.10	50.00	2.00	93.14	-0.09	0.78
209	6/22/2000 0:00:00	12/30/1899 9:28:24	2.00	228.70	1.04	0.25	349.00	3.52	1.31	1.00	1.00	4.86	19.29	19.89	18.08	364.40	363.90	10.23	10.93	42.45	45.33	500.00	50.00	1.00	93.14	-0.09	0.78
234	6/28/2000 0:00:00	12/30/1899 8:10:57	1.00	138.30	9.57	-0.43	381.00	-3.50	0.67	1.00	1.00	4.86	15.70	15.58	14.97	354.80	353.10	12.45	11.76	65.30	61.67	500.00	50.00	1.00	93.84	1.35	0.10
234	6/28/2000 0:00:00	12/30/1899 8:10:57	2.00	164.50	16.10	-0.12	558.00	-0.93	0.70	1.00	1.00	4.86	15.67	15.50	14.97	356.20	353.10	11.53	11.35	60.59	59.63	499.70	49.00	1.00	93.84	1.35	0.10
235	6/28/2000 0:00:00	12/30/1899 8:16:05	1.00	21.50	19.40	0.04	-297.00	0.36	0.70	1.00	1.00	4.86	15.54	15.36	14.97	356.50	352.50	11.08	11.15	58.70	59.08	500.70	50.00	2.00	93.84	1.35	0.10
235	6/28/2000 0:00:00	12/30/1899 8:16:05	2.00	31.30	22.90	0.16	117.00	1.19	0.70	1.00	1.00	4.86	15.55	15.35	14.99	357.40	352.80	10.89	11.12	57.68	58.92	500.80	50.00	1.00	93.84	1.35	0.10
236	6/28/2000 0:00:00	12/30/1899 8:28:13	1.00	147.00	10.30	-0.49	378.00	-4.60	0.76	1.00	1.00	4.86	15.69	15.85	14.95	354.50	352.70	12.00	11.09	62.99	58.23	500.90	50.00	1.00	93.85	1.35	0.10
236	6/28/2000 0:00:00	12/30/1899 8:28:13	2.00	157.50	15.10	-0.67	378.00	-6.37	0.75	1.00	1.00	4.86	15.69	15.89	14.98	354.10	351.50	12.54	11.28	65.77	59.18	500.90	50.00	0.00	93.84	1.35	0.10
237	6/28/2000 0:00:00	12/30/1899 8:33:16	1.00	125.30	20.30	0.24	212.00	1.60	0.64	1.00	1.00	4.86	15.65	15.48	14.95	359.00	354.80	11.67	11.98	61.41	63.07	500.80	50.00	1.00	93.85	1.35	0.10
237	6/28/2000 0:00:00	12/30/1899 8:33:16	2.00	130.50	14.00	-0.05	765.00	-0.37	0.64	1.00	1.00	4.86	15.65	15.54	14.98	357.10	354.40	12.05	11.97	63.40	63.00	500.40	50.00	1.00	93.84	1.35	0.10
238	6/28/2000 0:00:00	12/30/1899 8:47:35	1.00	77.70	11.00	-0.15	454.00	-1.59	0.88	1.00	1.00	4.86	16.05	16.89	14.98	355.70	353.60	11.41	11.10	58.53	56.92	499.60	50.00	0.00	93.84	1.35	0.10
238	6/28/2000 0:00:00	12/30/1899 8:47:35	2.00	87.50	14.80	-0.30	419.00	-3.08	0.87	1.00	1.00	4.86	16.05	16.86	14.98	354.10	351.40	11.86	11.26	60.87	57.74	499.70	51.00	0.00	93.85	1.35	0.10
239	6/28/2000 0:00:00	12/30/1899 8:51:11	1.00	118.00	14.80	-0.20	468.00	-1.76	0.77	1.00	1.00	4.86	15.98	16.55	14.96	362.60	359.80	12.19	11.84	62.78	60.99	500.00	50.00	3.00	93.84	1.35	0.10
239	6/28/2000 0:00:00	12/30/1899 8:51:11	2.00	130.00	12.80	-0.49	393.00	-4.46	0.74	1.00	1.00	4.86	15.97	16.50	14.97	362.90	360.70	13.02	12.13	67.08	62.54	499.80	50.00	1.00	93.85	1.35	0.10
