species	origin	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
POTR	s	50	C	A2-9	6	1.398246263	0.089486424	0.79079521	0.113160048
POTR	s	1200	C	A2-9	1	7.742211058	0.109079058	1.883573026	0.057910714
POTR	s	1200	C	A2-9	1	3.777193199	0.067019284	0.66026507	0.101503604
POTR	s	1200	C	A2-9	2	6.580737019	0.071159686	1.330714818	0.053474783
POTR	s	1200	C	A2-9	2	3.670175511	0.044339761	0.561993119	0.078897339
POTR	s	1200	C	A2-9	3	4.770245673	0.031497038	0.617285892	0.051025041
POTR	s	1200	C	A2-9	3	3.567836281	0.057446587	0.72828342	0.078879438
POTR	s	1200	C	A2-9	4	11.29008189	0.177070441	2.662904821	0.06649522
POTR	s	1200	C	A2-9	4	2.555945427	0.027348862	0.356237331	0.076771467
POTR	s	1200	C	A2-9	5	14.2300273	0.219594909	3.250492083	0.067557435
POTR	s	1200	C	A2-9	5	2.285315142	0.018211526	0.24307911	0.074920159
POTR	s	1200	C	A2-9	6	11.4100091	0.135655446	2.29206879	0.059184718
POTR	s	1200	C	A2-9	6	2.500660603	0.040308604	0.44055018	0.091496056
POTR	s	50	NE	A2-9	1	2.620220201	0.080293344	0.585135774	0.137221732
POTR	s	50	NE	A2-9	2	1.963406734	0.135621591	0.812188115	0.166982979
POTR	s	50	NE	A2-9	3	1.498135578	0.130921483	0.763586515	0.171455991
POTR	s	50	NE	A2-9	4	1.339656304	0.172211923	1.021195505	0.168637564
POTR	s	50	NE	A2-9	5	1.806552101	0.185689689	1.103255644	0.168310663
POTR	s	50	NE	A2-9	6	6.125517367	0.205325134	1.384894739	0.148260462
POTR	s	50	NE	A2-9	6	7.698505789	0.198727426	1.387345865	0.143242886
POTR	s	1200	NE	A2-9	1	10.69950193	0.156242475	1.199591479	0.130246403
POTR	s	1200	NE	A2-9	2	13.43316731	0.168080825	1.234149541	0.13619162
POTR	s	1200	NE	A2-9	3	13.81105577	0.170884085	1.205668894	0.141733842
POTR	s	1200	NE	A2-9	4	13.49257415	0.229580409	1.678080108	0.136811353
POTR	s	1200	NE	A2-9	5	15.99752472	0.254526803	1.805074322	0.141006273
POTR	s	50	NU	A2-9	1	6.196841572	0.211985125	1.744548583	0.121512881
POTR	s	50	NU	A2-9	2	3.188947191	0.178661708	1.50723048	0.118536422
POTR	s	50	NU	A2-9	3	2.142982397	0.16669676	1.496695874	0.111376508
POTR	s	50	NU	A2-9	4	1.854327466	0.181851301	1.556041482	0.1168679
POTR	s	50	NU	A2-9	5	1.554775822	0.186045672	1.581537637	0.117635943
POTR	s	50	NU	A2-9	6	1.139258607	0.234586652	1.892893498	0.123930191
POTR	s	1200	NU	A2-9	1	9.413086202	0.224766979	2.019535928	0.111296351
POTR	s	1200	NU	A2-9	2	11.27102873	0.197493755	1.841750071	0.107231572
POTR	s	1200	NU	A2-9	3	11.45700958	0.202688395	2.05391669	0.098683844
POTR	s	1200	NU	A2-9	4	14.25233653	0.233277084	2.261781754	0.103138635
POTR	s	1200	NU	A2-9	5	14.81744551	0.218901885	2.236784394	0.097864544
POTR	s	1200	NU	A2-9	6	14.1391485	0.276110152	2.557023369	0.107981083
POTR	s	50	SE	A2-9	1	4.950003033	0.201504196	1.675451501	0.120268594
POTR	s	50	SE	A2-9	2	3.343334344	0.20145378	1.507055262	0.133673784
POTR	s	50	SE	A2-9	3	2.304444781	0.200865546	1.430923183	0.140374793
POTR	s	50	SE	A2-9	4	1.994814927	0.198098039	1.416974394	0.139803542
POTR	s	50	SE	A2-9	5	1.691604976	0.22203268	1.566610512	0.141728067
